"filename", "language", "JavaScript", "Markdown", "JSON", "JavaScript JSX", "HTML", "PostCSS", "XML", "YAML", "comment", "blank", "total"
"c:\Users\BN6690\Projects\portfolio\.github\workflows\deploy.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 41, 1, 10, 52
"c:\Users\BN6690\Projects\portfolio\README.md", "Markdown", 0, 46, 0, 0, 0, 0, 0, 0, 0, 18, 64
"c:\Users\BN6690\Projects\portfolio\index.html", "HTML", 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"c:\Users\BN6690\Projects\portfolio\package-lock.json", "JSON", 0, 0, 2675, 0, 0, 0, 0, 0, 0, 1, 2676
"c:\Users\BN6690\Projects\portfolio\package.json", "JSON", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 24
"c:\Users\BN6690\Projects\portfolio\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\BN6690\Projects\portfolio\public\claude-mark.svg", "XML", 0, 0, 0, 0, 0, 0, 20, 0, 1, 0, 21
"c:\Users\BN6690\Projects\portfolio\src\App.jsx", "JavaScript JSX", 0, 0, 0, 36, 0, 0, 0, 0, 1, 3, 40
"c:\Users\BN6690\Projects\portfolio\src\components\BentoCard.jsx", "JavaScript JSX", 0, 0, 0, 42, 0, 0, 0, 0, 3, 5, 50
"c:\Users\BN6690\Projects\portfolio\src\components\ClaudeLogo.jsx", "JavaScript JSX", 0, 0, 0, 26, 0, 0, 0, 0, 2, 1, 29
"c:\Users\BN6690\Projects\portfolio\src\components\Footer.jsx", "JavaScript JSX", 0, 0, 0, 40, 0, 0, 0, 0, 0, 5, 45
"c:\Users\BN6690\Projects\portfolio\src\components\Icons.jsx", "JavaScript JSX", 0, 0, 0, 97, 0, 0, 0, 0, 2, 11, 110
"c:\Users\BN6690\Projects\portfolio\src\components\Layout.jsx", "JavaScript JSX", 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\BN6690\Projects\portfolio\src\components\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 45, 0, 0, 0, 0, 0, 5, 50
"c:\Users\BN6690\Projects\portfolio\src\data\content.js", "JavaScript", 717, 0, 0, 0, 0, 0, 0, 0, 14, 12, 743
"c:\Users\BN6690\Projects\portfolio\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 73, 0, 0, 4, 17, 94
"c:\Users\BN6690\Projects\portfolio\src\main.jsx", "JavaScript JSX", 0, 0, 0, 12, 0, 0, 0, 0, 1, 2, 15
"c:\Users\BN6690\Projects\portfolio\src\pages\About.jsx", "JavaScript JSX", 0, 0, 0, 164, 0, 0, 0, 0, 2, 9, 175
"c:\Users\BN6690\Projects\portfolio\src\pages\Badges.jsx", "JavaScript JSX", 0, 0, 0, 66, 0, 0, 0, 0, 1, 7, 74
"c:\Users\BN6690\Projects\portfolio\src\pages\Certificates.jsx", "JavaScript JSX", 0, 0, 0, 64, 0, 0, 0, 0, 1, 7, 72
"c:\Users\BN6690\Projects\portfolio\src\pages\Community.jsx", "JavaScript JSX", 0, 0, 0, 134, 0, 0, 0, 0, 2, 13, 149
"c:\Users\BN6690\Projects\portfolio\src\pages\Contact.jsx", "JavaScript JSX", 0, 0, 0, 103, 0, 0, 0, 0, 3, 8, 114
"c:\Users\BN6690\Projects\portfolio\src\pages\Education.jsx", "JavaScript JSX", 0, 0, 0, 114, 0, 0, 0, 0, 3, 8, 125
"c:\Users\BN6690\Projects\portfolio\src\pages\Experience.jsx", "JavaScript JSX", 0, 0, 0, 171, 0, 0, 0, 0, 2, 17, 190
"c:\Users\BN6690\Projects\portfolio\src\pages\Home.jsx", "JavaScript JSX", 0, 0, 0, 109, 0, 0, 0, 0, 12, 12, 133
"c:\Users\BN6690\Projects\portfolio\tailwind.config.js", "JavaScript", 60, 0, 0, 0, 0, 0, 0, 0, 3, 1, 64
"c:\Users\BN6690\Projects\portfolio\vite.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 3, 2, 11
"Total", "-", 789, 46, 2699, 1236, 23, 73, 20, 41, 61, 178, 5166
